sub,passive,stim_freq,plv,passive_order,group
2,False,130,0.05557771716789137,1,decliner
16,False,130,0.07577913620010901,2,decliner
30,True,200,0.055195389657788495,2,decliner
15,True,200,0.10749212958581987,1,decliner
15,True,130,0.06724942546441848,1,decliner
15,False,280,0.07356174454335179,1,decliner
15,False,200,0.10625043073220407,1,decliner
15,False,130,0.05505565720689381,1,decliner
12,True,280,0.0685366273845668,2,decliner
12,True,200,0.15267916756863747,2,decliner
12,True,130,0.13891796983696647,2,decliner
12,False,280,0.0617170709787809,2,decliner
12,False,200,0.15539700611520357,2,decliner
12,False,130,0.14670403651202416,2,decliner
10,True,280,0.06369548353172923,2,decliner
10,True,200,0.093136980935749,2,decliner
10,True,130,0.06136983695055412,2,decliner
10,False,280,0.06201271098224701,2,decliner
16,False,200,0.08927230589714545,2,decliner
10,False,200,0.10277986378906463,2,decliner
16,False,280,0.06309359858584633,2,decliner
16,True,200,0.11360000566252226,2,decliner
30,True,130,0.05224431095623854,2,decliner
30,False,280,0.04985910616350037,2,decliner
30,False,200,0.05642232740394888,2,decliner
30,False,130,0.05898606878368017,2,decliner
21,True,280,0.06808159306264472,1,decliner
21,True,200,0.1979509372446537,1,decliner
21,True,130,0.10095692123185333,1,decliner
21,False,280,0.05974224347057767,1,decliner
21,False,200,0.21327320083625548,1,decliner
21,False,130,0.11283660502033797,1,decliner
20,True,280,0.07679197939541985,2,decliner
20,True,200,0.11195490798443061,2,decliner
20,True,130,0.0823233328165558,2,decliner
20,False,280,0.058334958158244125,2,decliner
20,False,200,0.10076822058810188,2,decliner
20,False,130,0.08236862894001162,2,decliner
16,True,280,0.07093587620843042,2,decliner
16,True,130,0.08919275402661853,2,decliner
10,False,130,0.05571439610710941,2,decliner
15,True,280,0.06746595080517673,1,decliner
30,True,280,0.05937060043261228,2,decliner
7,False,200,0.06655355328525851,2,decliner
7,False,280,0.059260628278002554,2,decliner
7,True,130,0.058025744992849834,2,decliner
7,True,200,0.06724763238826793,2,decliner
7,False,130,0.057444163613380755,2,decliner
2,True,280,0.060180031372057456,1,decliner
7,True,280,0.06337864499850428,2,decliner
2,False,200,0.058091548611519106,1,decliner
2,False,280,0.06801114217327005,1,decliner
2,True,130,0.05609789791718178,1,decliner
2,True,200,0.06380877379362712,1,decliner
28,False,280,0.055151831914726245,2,expert
6,True,130,0.06305945060541832,1,expert
6,False,280,0.060446000108579936,1,expert
6,False,200,0.10115018560394258,1,expert
6,False,130,0.06427675280732222,1,expert
18,False,130,0.08565647538874147,2,expert
18,False,200,0.10994762062116609,2,expert
18,False,280,0.06285922443610528,2,expert
18,True,130,0.06426592248048885,2,expert
18,True,200,0.0997251795408732,2,expert
18,True,280,0.05593920249831956,2,expert
9,True,280,0.05081163969546036,1,expert
3,True,280,0.054937403391886956,2,expert
28,True,280,0.05906916938406332,2,expert
3,True,200,0.054237364650693294,2,expert
3,True,130,0.05485978461181266,2,expert
3,False,280,0.05318510624742463,2,expert
3,False,200,0.052259305089053985,2,expert
3,False,130,0.05971556828923213,2,expert
28,True,200,0.06379553456594136,2,expert
28,False,130,0.05329933894030846,2,expert
28,False,200,0.0560405731889231,2,expert
28,True,130,0.055044191062910246,2,expert
6,True,200,0.08096068508103874,1,expert
9,True,200,0.06829555435754014,1,expert
14,True,280,0.060384269236134075,2,expert
6,True,280,0.05420220289788553,1,expert
11,True,200,0.06050953823510973,1,expert
11,True,130,0.05119240120180164,1,expert
11,False,280,0.05780135587386914,1,expert
11,False,200,0.0670349941300389,1,expert
11,False,130,0.053162752320908634,1,expert
11,True,280,0.05439440131205664,1,expert
8,True,200,0.10641234648283092,1,expert
8,True,130,0.06186503309275846,1,expert
8,False,280,0.057721038626877816,1,expert
8,False,200,0.09013328339738882,1,expert
13,False,130,0.06304706399816158,1,expert
8,True,280,0.0606787117774856,1,expert
13,False,200,0.07567365891369875,1,expert
8,False,130,0.05840573327032688,1,expert
9,True,130,0.05689426577893734,1,expert
14,True,130,0.05943896008067482,2,expert
14,False,280,0.05249604381607447,2,expert
14,False,200,0.05796901406282028,2,expert
14,False,130,0.06531381611647775,2,expert
13,True,280,0.06775148924167299,1,expert
13,True,200,0.05975243605147672,1,expert
13,True,130,0.06682116634057376,1,expert
14,True,200,0.05456180638825439,2,expert
13,False,280,0.05653294982510579,1,expert
9,False,200,0.056632015436608944,1,expert
9,False,130,0.06427770521133687,1,expert
9,False,280,0.06922483265294484,1,expert
26,False,130,0.09455613468553653,2,improver
25,True,280,0.06522652387834535,1,improver
25,True,200,0.09633091143007087,1,improver
26,False,200,0.1108755611835036,2,improver
25,True,130,0.07051001936044783,1,improver
25,False,280,0.07438074943427839,1,improver
26,False,280,0.0697768358750098,2,improver
29,True,130,0.059038188665953825,1,improver
26,True,200,0.1075792853092664,2,improver
26,True,280,0.07299875475381046,2,improver
29,True,200,0.07254558993133485,1,improver
25,False,200,0.1226002034748891,1,improver
29,False,130,0.05442692359484246,1,improver
29,True,280,0.05375872856417925,1,improver
29,False,200,0.07367379337760391,1,improver
29,False,280,0.05430640084042186,1,improver
26,True,130,0.08741449265537571,2,improver
25,False,130,0.05990093515642863,1,improver
23,True,130,0.061116360968303605,1,improver
24,True,200,0.17159333045823266,2,improver
4,True,280,0.061313834223724925,1,improver
19,False,130,0.06355344857865641,1,improver
19,False,200,0.09919981852499224,1,improver
19,False,280,0.08574986101385569,1,improver
19,True,130,0.05661035854908505,1,improver
19,True,200,0.10448072838740023,1,improver
19,True,280,0.09724920864304486,1,improver
4,True,200,0.05575109458777179,1,improver
4,True,130,0.05294228017484667,1,improver
4,False,200,0.05048779915345545,1,improver
4,False,130,0.053047189685661404,1,improver
22,False,130,0.07058988652828387,2,improver
24,True,280,0.06849384485118108,2,improver
22,False,200,0.09917190058020864,2,improver
22,True,130,0.07412341233539292,2,improver
22,True,200,0.10051164623968369,2,improver
22,True,280,0.07469884010928271,2,improver
23,False,130,0.050900539773741774,1,improver
23,False,200,0.09360153568798964,1,improver
23,False,280,0.05648532982667923,1,improver
23,True,200,0.1331112249127815,1,improver
23,True,280,0.0607115321513404,1,improver
24,False,130,0.08270501638135398,2,improver
24,False,200,0.11374897626500712,2,improver
24,False,280,0.052497369639603816,2,improver
24,True,130,0.0897798712533019,2,improver
22,False,280,0.0683911934777335,2,improver
4,False,280,0.05213130558850754,1,improver
