,subject,passive,target,tone,frequency,dB,sub_num,passive_order,group
0,15,False,200.0,130,129.87012987012986,2.8361517353392918,15,1,decliner
1,15,False,280.0,130,129.87012987012986,-0.9171529206197814,15,1,decliner
2,12,True,,130,129.87012987012986,10.373092819707674,12,1,decliner
3,15,False,130.0,130,129.87012987012986,3.4565121278270707,15,1,decliner
4,16,False,200.0,130,129.87012987012986,3.460886476690279,16,2,decliner
5,15,True,,130,129.87012987012986,3.961552431175925,15,1,decliner
6,16,False,130.0,130,129.87012987012986,0.9130586926368316,16,2,decliner
7,10,False,280.0,130,129.87012987012986,-0.7914415170289493,10,2,decliner
8,10,True,,130,129.87012987012986,6.840813692311113,10,2,decliner
9,10,False,130.0,130,129.87012987012986,0.514139203524503,10,2,decliner
10,10,False,200.0,130,129.87012987012986,0.2346999413339511,10,2,decliner
11,12,False,280.0,130,129.87012987012986,6.733356881410991,12,1,decliner
12,12,False,130.0,130,129.87012987012986,8.754213128431642,12,1,decliner
13,12,False,200.0,130,129.87012987012986,8.356350117222918,12,1,decliner
14,21,True,,130,129.87012987012986,10.397616530039638,21,1,decliner
15,30,False,130.0,130,129.87012987012986,0.2898088829022546,30,2,decliner
16,21,False,200.0,130,129.87012987012986,5.480346747778016,21,1,decliner
17,21,False,280.0,130,129.87012987012986,6.47831501427172,21,1,decliner
18,30,True,,130,129.87012987012986,-1.6542075012277464,30,2,decliner
19,30,False,200.0,130,129.87012987012986,2.815495240568943,30,2,decliner
20,30,False,280.0,130,129.87012987012986,1.101111041499513,30,2,decliner
21,20,False,130.0,130,129.87012987012986,7.40584214358374,20,2,decliner
22,20,False,200.0,130,129.87012987012986,1.8143809453619144,20,2,decliner
23,16,False,280.0,130,129.87012987012986,3.1501513697272223,16,2,decliner
24,16,True,,130,129.87012987012986,4.154320000719512,16,2,decliner
25,21,False,130.0,130,129.87012987012986,4.017171526354396,21,1,decliner
26,20,False,280.0,130,129.87012987012986,3.375451576973597,20,2,decliner
27,20,True,,130,129.87012987012986,8.40210678059344,20,2,decliner
28,7,False,280.0,130,129.87012987012986,0.2802205997022287,7,2,decliner
29,7,True,,130,129.87012987012986,2.483881809888475,7,2,decliner
30,7,False,130.0,130,129.87012987012986,1.6071282429611091,7,2,decliner
31,7,False,200.0,130,129.87012987012986,-0.6970181608970439,7,2,decliner
32,2,False,280.0,130,129.87012987012986,2.23202616277993,2,1,decliner
33,2,True,,130,129.87012987012986,-0.032626864845897,2,1,decliner
34,2,False,130.0,130,129.87012987012986,-3.079074872217519,2,1,decliner
35,2,False,200.0,130,129.87012987012986,0.8271087484885887,2,1,decliner
36,18,False,130.0,130,129.87012987012986,5.4008040807346935,18,2,expert
37,6,False,130.0,130,129.87012987012986,0.1826061007967221,6,1,expert
38,18,False,200.0,130,129.87012987012986,1.262243154063272,18,2,expert
39,6,True,,130,129.87012987012986,0.6334456020961337,6,1,expert
40,6,False,200.0,130,129.87012987012986,4.495946241260916,6,1,expert
41,6,False,280.0,130,129.87012987012986,2.4470176253394587,6,1,expert
42,28,False,200.0,130,129.87012987012986,-1.745435905935148,28,2,expert
43,28,False,130.0,130,129.87012987012986,-4.531687866610269,28,2,expert
44,3,False,130.0,130,129.87012987012986,-0.9478832248624164,3,2,expert
45,28,True,,130,129.87012987012986,2.3916536861783504,28,2,expert
46,28,False,280.0,130,129.87012987012986,0.2660401930705933,28,2,expert
47,18,False,280.0,130,129.87012987012986,2.3337569437858763,18,2,expert
48,18,True,,130,129.87012987012986,4.485844964642828,18,2,expert
49,3,False,280.0,130,129.87012987012986,-1.349290479478342,3,2,expert
50,3,False,200.0,130,129.87012987012986,0.8785521397475277,3,2,expert
51,3,True,,130,129.87012987012986,-0.5203735371285468,3,2,expert
52,8,False,200.0,130,129.87012987012986,4.738584879229402,8,1,expert
53,8,False,280.0,130,129.87012987012986,-1.3677174303123794,8,1,expert
54,9,False,200.0,130,129.87012987012986,3.174995093680554,9,1,expert
55,8,False,130.0,130,129.87012987012986,-0.8502869834100302,8,1,expert
56,9,False,130.0,130,129.87012987012986,1.9950780105393755,9,1,expert
57,11,False,280.0,130,129.87012987012986,-2.371220746183421,11,2,expert
58,11,True,,130,129.87012987012986,1.1772511572553754,11,2,expert
59,11,False,130.0,130,129.87012987012986,-1.158332350227096,11,2,expert
60,8,True,,130,129.87012987012986,7.126678905748395,8,1,expert
61,11,False,200.0,130,129.87012987012986,0.425819227330993,11,2,expert
62,13,True,,130,129.87012987012986,6.146660515943191,13,1,expert
63,14,False,130.0,130,129.87012987012986,-0.2405814758941259,14,2,expert
64,13,False,200.0,130,129.87012987012986,-3.6873183130736304,13,1,expert
65,13,False,280.0,130,129.87012987012986,-1.1995288241551498,13,1,expert
66,14,True,,130,129.87012987012986,-2.400491982766573,14,2,expert
67,14,False,200.0,130,129.87012987012986,1.40681685491063,14,2,expert
68,14,False,280.0,130,129.87012987012986,2.659013058130829,14,2,expert
69,9,True,,130,129.87012987012986,0.5741765206161777,9,1,expert
70,9,False,280.0,130,129.87012987012986,2.166767738224381,9,1,expert
71,13,False,130.0,130,129.87012987012986,-0.127301715113508,13,1,expert
72,26,False,200.0,130,129.87012987012986,2.87590047897444,26,2,improver
73,26,False,130.0,130,129.87012987012986,7.600057790666415,26,2,improver
74,25,False,200.0,130,129.87012987012986,1.151582868824247,25,1,improver
75,25,False,130.0,130,129.87012987012986,-0.2782426361880686,25,1,improver
76,25,True,,130,129.87012987012986,1.549347798279127,25,1,improver
77,25,False,280.0,130,129.87012987012986,2.851686850873667,25,1,improver
78,29,False,280.0,130,129.87012987012986,0.7864180867370175,29,1,improver
79,29,False,130.0,130,129.87012987012986,5.788501230912374,29,1,improver
80,29,False,200.0,130,129.87012987012986,0.6821529992555633,29,1,improver
81,26,True,,130,129.87012987012986,8.91024624206684,26,2,improver
82,26,False,280.0,130,129.87012987012986,7.799612930367504,26,2,improver
83,29,True,,130,129.87012987012986,2.931962783149149,29,1,improver
84,4,False,200.0,130,129.87012987012986,3.5466883076374267,4,1,improver
85,4,False,280.0,130,129.87012987012986,-0.7911569271488448,4,1,improver
86,22,False,200.0,130,129.87012987012986,2.716870597479004,22,2,improver
87,4,False,130.0,130,129.87012987012986,-2.7086874050483543,4,1,improver
88,22,False,130.0,130,129.87012987012986,-1.4036158401715193,22,2,improver
89,19,False,280.0,130,129.87012987012986,1.3063468877148252,19,1,improver
90,19,False,130.0,130,129.87012987012986,7.2171835993620785,19,1,improver
91,19,False,200.0,130,129.87012987012986,0.8810956918966518,19,1,improver
92,4,True,,130,129.87012987012986,1.3537349797145124,4,1,improver
93,19,True,,130,129.87012987012986,1.1851540156790028,19,1,improver
94,24,False,200.0,130,129.87012987012986,3.660342746116258,24,2,improver
95,23,True,,130,129.87012987012986,5.942823311796554,23,1,improver
96,24,False,130.0,130,129.87012987012986,2.217014385085448,24,2,improver
97,24,True,,130,129.87012987012986,9.327508274072162,24,2,improver
98,24,False,280.0,130,129.87012987012986,1.3733916174827958,24,2,improver
99,23,False,130.0,130,129.87012987012986,1.5274362301926296,23,1,improver
100,22,False,280.0,130,129.87012987012986,2.232746534848753,22,2,improver
101,22,True,,130,129.87012987012986,5.885778272134496,22,2,improver
102,23,False,280.0,130,129.87012987012986,0.8369521029362865,23,1,improver
103,23,False,200.0,130,129.87012987012986,3.355248328171512,23,1,improver
104,15,False,200.0,200,199.80019980019975,7.343804612056893,15,1,decliner
105,15,False,280.0,200,199.80019980019975,6.340145680791172,15,1,decliner
106,12,True,,200,199.80019980019975,14.763848589290756,12,1,decliner
107,15,False,130.0,200,199.80019980019975,7.089047567098193,15,1,decliner
108,16,False,130.0,200,199.80019980019975,2.936386619452946,16,2,decliner
109,16,False,200.0,200,199.80019980019975,6.267424952083736,16,2,decliner
110,15,True,,200,199.80019980019975,10.54506348840832,15,1,decliner
111,10,False,280.0,200,199.80019980019975,5.209100244884233,10,2,decliner
112,10,True,,200,199.80019980019975,5.705438831513977,10,2,decliner
113,10,False,130.0,200,199.80019980019975,4.3602150772396016,10,2,decliner
114,10,False,200.0,200,199.80019980019975,3.923005759437954,10,2,decliner
115,12,False,200.0,200,199.80019980019975,9.598761510498456,12,1,decliner
116,12,False,280.0,200,199.80019980019975,7.833342070158489,12,1,decliner
117,12,False,130.0,200,199.80019980019975,11.259987730719738,12,1,decliner
118,21,True,,200,199.80019980019975,19.25532202292683,21,1,decliner
119,30,False,130.0,200,199.80019980019975,0.8521363362724234,30,2,decliner
120,21,False,200.0,200,199.80019980019975,11.776204559011788,21,1,decliner
121,21,False,280.0,200,199.80019980019975,12.883219746217613,21,1,decliner
122,30,False,280.0,200,199.80019980019975,-4.046395128667917,30,2,decliner
123,30,True,,200,199.80019980019975,-1.081452144117394,30,2,decliner
124,30,False,200.0,200,199.80019980019975,-0.2064869679948689,30,2,decliner
125,20,False,130.0,200,199.80019980019975,4.035370946558508,20,2,decliner
126,20,False,200.0,200,199.80019980019975,7.5253034435774735,20,2,decliner
127,16,False,280.0,200,199.80019980019975,2.206693617574488,16,2,decliner
128,16,True,,200,199.80019980019975,11.208667275373994,16,2,decliner
129,20,True,,200,199.80019980019975,11.897018662331387,20,2,decliner
130,21,False,130.0,200,199.80019980019975,11.853119285193578,21,1,decliner
131,20,False,280.0,200,199.80019980019975,6.781107472002306,20,2,decliner
132,7,False,280.0,200,199.80019980019975,1.5631711566845885,7,2,decliner
133,7,True,,200,199.80019980019975,1.9916322318963344,7,2,decliner
134,7,False,130.0,200,199.80019980019975,2.87692045093778,7,2,decliner
135,7,False,200.0,200,199.80019980019975,0.3849119136285537,7,2,decliner
136,2,False,280.0,200,199.80019980019975,5.875911409411513,2,1,decliner
137,2,True,,200,199.80019980019975,5.65364923906377,2,1,decliner
138,2,False,130.0,200,199.80019980019975,5.618794720509427,2,1,decliner
139,2,False,200.0,200,199.80019980019975,-1.5768134528655349,2,1,decliner
140,18,False,130.0,200,199.80019980019975,5.514493393372012,18,2,expert
141,6,False,130.0,200,199.80019980019975,6.1491909767438,6,1,expert
142,18,False,200.0,200,199.80019980019975,5.839079190410144,18,2,expert
143,6,True,,200,199.80019980019975,6.024213499447234,6,1,expert
144,6,False,200.0,200,199.80019980019975,8.403285870398916,6,1,expert
145,6,False,280.0,200,199.80019980019975,6.269090205269388,6,1,expert
146,28,False,130.0,200,199.80019980019975,2.4356962882215702,28,2,expert
147,28,False,200.0,200,199.80019980019975,-5.107468232839629,28,2,expert
148,3,False,130.0,200,199.80019980019975,2.019629285444873,3,2,expert
149,28,True,,200,199.80019980019975,3.634907560930047,28,2,expert
150,28,False,280.0,200,199.80019980019975,1.441552110756932,28,2,expert
151,18,True,,200,199.80019980019975,10.936353164216433,18,2,expert
152,18,False,280.0,200,199.80019980019975,5.929240473304271,18,2,expert
153,3,False,200.0,200,199.80019980019975,0.8633126897421973,3,2,expert
154,3,True,,200,199.80019980019975,5.687385084808151,3,2,expert
155,3,False,280.0,200,199.80019980019975,2.3804637276071485,3,2,expert
156,8,False,200.0,200,199.80019980019975,5.248593095351617,8,1,expert
157,8,False,280.0,200,199.80019980019975,3.907296461073738,8,1,expert
158,9,False,200.0,200,199.80019980019975,-2.5927737221522733,9,1,expert
159,8,False,130.0,200,199.80019980019975,4.111981197562566,8,1,expert
160,9,False,130.0,200,199.80019980019975,5.478974201922261,9,1,expert
161,11,False,280.0,200,199.80019980019975,1.989191771410224,11,2,expert
162,11,True,,200,199.80019980019975,2.483064725826412,11,2,expert
163,8,True,,200,199.80019980019975,11.382243004827012,8,1,expert
164,11,False,200.0,200,199.80019980019975,-1.0463049707644727,11,2,expert
165,11,False,130.0,200,199.80019980019975,4.561636815123808,11,2,expert
166,13,True,,200,199.80019980019975,2.1531870503744703,13,1,expert
167,14,False,130.0,200,199.80019980019975,-1.0761954419125423,14,2,expert
168,13,False,200.0,200,199.80019980019975,3.8035528581261846,13,1,expert
169,13,False,280.0,200,199.80019980019975,1.739800769571305,13,1,expert
170,14,False,280.0,200,199.80019980019975,1.8427709804420849,14,2,expert
171,14,True,,200,199.80019980019975,2.0975911774751568,14,2,expert
172,14,False,200.0,200,199.80019980019975,0.5183458786802035,14,2,expert
173,9,True,,200,199.80019980019975,4.398078276789513,9,1,expert
174,9,False,280.0,200,199.80019980019975,-2.244302313154991,9,1,expert
175,13,False,130.0,200,199.80019980019975,-2.9768114484282298,13,1,expert
176,26,False,200.0,200,199.80019980019975,6.801482257188751,26,2,improver
177,26,False,130.0,200,199.80019980019975,9.713816650894929,26,2,improver
178,25,False,200.0,200,199.80019980019975,7.982379040653408,25,1,improver
179,25,False,130.0,200,199.80019980019975,6.786386374440012,25,1,improver
180,25,True,,200,199.80019980019975,7.563505546690412,25,1,improver
181,25,False,280.0,200,199.80019980019975,7.478905392351831,25,1,improver
182,29,False,280.0,200,199.80019980019975,2.511973746622958,29,1,improver
183,29,False,130.0,200,199.80019980019975,2.0965388829989844,29,1,improver
184,29,False,200.0,200,199.80019980019975,-0.3264617088686114,29,1,improver
185,26,True,,200,199.80019980019975,13.52476560583243,26,2,improver
186,26,False,280.0,200,199.80019980019975,7.5988319307678704,26,2,improver
187,29,True,,200,199.80019980019975,6.987714965193018,29,1,improver
188,4,False,200.0,200,199.80019980019975,-1.889262724966112,4,1,improver
189,4,False,280.0,200,199.80019980019975,2.94202269886848,4,1,improver
190,22,False,200.0,200,199.80019980019975,5.208729067516675,22,2,improver
191,4,False,130.0,200,199.80019980019975,-0.5238306132254288,4,1,improver
192,22,False,130.0,200,199.80019980019975,8.350571045631604,22,2,improver
193,19,False,200.0,200,199.80019980019975,5.896810552608047,19,1,improver
194,19,False,280.0,200,199.80019980019975,4.595535298846815,19,1,improver
195,19,False,130.0,200,199.80019980019975,7.398199122297883,19,1,improver
196,4,True,,200,199.80019980019975,1.4411666908094265,4,1,improver
197,19,True,,200,199.80019980019975,10.838880512829824,19,1,improver
198,24,False,130.0,200,199.80019980019975,2.930068124893321,24,2,improver
199,24,False,200.0,200,199.80019980019975,9.889424745148435,24,2,improver
200,23,True,,200,199.80019980019975,14.067300394991824,23,1,improver
201,24,True,,200,199.80019980019975,21.26378394675513,24,2,improver
202,24,False,280.0,200,199.80019980019975,6.739031017889911,24,2,improver
203,22,True,,200,199.80019980019975,10.508717862925,22,2,improver
204,23,False,130.0,200,199.80019980019975,9.272897160202495,23,1,improver
205,22,False,280.0,200,199.80019980019975,9.186425193090228,22,2,improver
206,23,False,280.0,200,199.80019980019975,2.9802319636592016,23,1,improver
207,23,False,200.0,200,199.80019980019975,4.865225701759058,23,1,improver
208,15,False,200.0,280,279.7202797202797,4.900161044568129,15,1,decliner
209,12,True,,280,279.7202797202797,6.747492495954365,12,1,decliner
210,15,False,130.0,280,279.7202797202797,2.555854644727983,15,1,decliner
211,16,False,130.0,280,279.7202797202797,-0.4080209978871207,16,2,decliner
212,16,False,200.0,280,279.7202797202797,1.371953110217644,16,2,decliner
213,15,False,280.0,280,279.7202797202797,3.5261878441870182,15,1,decliner
214,15,True,,280,279.7202797202797,5.023518579251586,15,1,decliner
215,10,False,280.0,280,279.7202797202797,-1.1781063698790173,10,2,decliner
216,10,False,130.0,280,279.7202797202797,1.470559055119303,10,2,decliner
217,10,False,200.0,280,279.7202797202797,-1.8382561924424436,10,2,decliner
218,12,False,200.0,280,279.7202797202797,1.4879760437624832,12,1,decliner
219,12,False,280.0,280,279.7202797202797,-3.602562502435611,12,1,decliner
220,10,True,,280,279.7202797202797,3.063070538526432,10,2,decliner
221,12,False,130.0,280,279.7202797202797,2.787248883108256,12,1,decliner
222,21,True,,280,279.7202797202797,7.296159796162332,21,1,decliner
223,21,False,200.0,280,279.7202797202797,3.0751963457540583,21,1,decliner
224,21,False,280.0,280,279.7202797202797,3.180952609745496,21,1,decliner
225,30,False,280.0,280,279.7202797202797,2.0535132656751216,30,2,decliner
226,30,True,,280,279.7202797202797,2.971299410373777,30,2,decliner
227,30,False,130.0,280,279.7202797202797,0.4882376215056954,30,2,decliner
228,30,False,200.0,280,279.7202797202797,-1.6256949013567836,30,2,decliner
229,20,False,130.0,280,279.7202797202797,2.5216765709297158,20,2,decliner
230,16,False,280.0,280,279.7202797202797,0.839347619529172,16,2,decliner
231,16,True,,280,279.7202797202797,7.629852977714496,16,2,decliner
232,20,True,,280,279.7202797202797,7.650307591537451,20,2,decliner
233,21,False,130.0,280,279.7202797202797,4.395889859052609,21,1,decliner
234,20,False,200.0,280,279.7202797202797,-2.853818341965339,20,2,decliner
235,20,False,280.0,280,279.7202797202797,1.627216868975304,20,2,decliner
236,7,False,280.0,280,279.7202797202797,3.006807607691799,7,2,decliner
237,7,True,,280,279.7202797202797,1.9150472832973315,7,2,decliner
238,7,False,130.0,280,279.7202797202797,1.2448889321351404,7,2,decliner
239,7,False,200.0,280,279.7202797202797,-0.6347284396405061,7,2,decliner
240,2,False,280.0,280,279.7202797202797,2.254131011885684,2,1,decliner
241,2,True,,280,279.7202797202797,4.342242675300646,2,1,decliner
242,2,False,130.0,280,279.7202797202797,1.530887272153164,2,1,decliner
243,2,False,200.0,280,279.7202797202797,6.1949570470125686,2,1,decliner
244,6,False,130.0,280,279.7202797202797,5.779368274954911,6,1,expert
245,18,False,200.0,280,279.7202797202797,0.7320627052240822,18,2,expert
246,18,False,130.0,280,279.7202797202797,1.635230145751906,18,2,expert
247,6,False,280.0,280,279.7202797202797,3.404162299765111,6,1,expert
248,6,True,,280,279.7202797202797,4.528661876443028,6,1,expert
249,6,False,200.0,280,279.7202797202797,3.8466363419853074,6,1,expert
250,28,False,130.0,280,279.7202797202797,3.391260688232588,28,2,expert
251,3,False,130.0,280,279.7202797202797,-0.7471883620380544,3,2,expert
252,28,True,,280,279.7202797202797,4.400989415195224,28,2,expert
253,28,False,200.0,280,279.7202797202797,3.91176293559018,28,2,expert
254,28,False,280.0,280,279.7202797202797,-2.682916941734512,28,2,expert
255,18,True,,280,279.7202797202797,3.205828800526368,18,2,expert
256,3,True,,280,279.7202797202797,3.503772203648832,3,2,expert
257,18,False,280.0,280,279.7202797202797,3.1433160479726747,18,2,expert
258,3,False,200.0,280,279.7202797202797,-1.3358509366683025,3,2,expert
259,3,False,280.0,280,279.7202797202797,1.3506922831427732,3,2,expert
260,8,False,200.0,280,279.7202797202797,-2.577553297388655,8,1,expert
261,8,False,130.0,280,279.7202797202797,0.9110267470688206,8,1,expert
262,8,False,280.0,280,279.7202797202797,3.637739997471364,8,1,expert
263,9,False,200.0,280,279.7202797202797,1.6062547130906415,9,1,expert
264,9,False,130.0,280,279.7202797202797,3.531784303312068,9,1,expert
265,11,False,280.0,280,279.7202797202797,1.2930941581729831,11,2,expert
266,11,False,200.0,280,279.7202797202797,4.498075814813833,11,2,expert
267,11,True,,280,279.7202797202797,1.298927938115221,11,2,expert
268,8,True,,280,279.7202797202797,3.935928308817223,8,1,expert
269,11,False,130.0,280,279.7202797202797,4.389155281662881,11,2,expert
270,13,True,,280,279.7202797202797,3.795244346765228,13,1,expert
271,13,False,200.0,280,279.7202797202797,1.4215013129950458,13,1,expert
272,13,False,280.0,280,279.7202797202797,1.3118548565265753,13,1,expert
273,14,False,280.0,280,279.7202797202797,-1.580140360247805,14,2,expert
274,14,True,,280,279.7202797202797,2.482922230256317,14,2,expert
275,14,False,130.0,280,279.7202797202797,-3.7591317850403225,14,2,expert
276,14,False,200.0,280,279.7202797202797,-0.2985713639494048,14,2,expert
277,9,False,280.0,280,279.7202797202797,0.0222185404852232,9,1,expert
278,13,False,130.0,280,279.7202797202797,1.5026019299154612,13,1,expert
279,9,True,,280,279.7202797202797,-1.4770475586131229,9,1,expert
280,26,False,200.0,280,279.7202797202797,1.6410807890213588,26,2,improver
281,26,False,130.0,280,279.7202797202797,3.010958861645684,26,2,improver
282,25,False,200.0,280,279.7202797202797,2.025602881296712,25,1,improver
283,25,False,130.0,280,279.7202797202797,3.851888638604372,25,1,improver
284,25,True,,280,279.7202797202797,5.7877551502957445,25,1,improver
285,25,False,280.0,280,279.7202797202797,2.286161784897277,25,1,improver
286,29,False,200.0,280,279.7202797202797,-1.964958070378812,29,1,improver
287,29,False,280.0,280,279.7202797202797,0.2203393412299308,29,1,improver
288,29,False,130.0,280,279.7202797202797,1.7398625823049487,29,1,improver
289,26,False,280.0,280,279.7202797202797,2.8139413095052945,26,2,improver
290,29,True,,280,279.7202797202797,5.901904220032817,29,1,improver
291,26,True,,280,279.7202797202797,8.110986316630779,26,2,improver
292,4,False,200.0,280,279.7202797202797,-3.2984246388030973,4,1,improver
293,4,False,130.0,280,279.7202797202797,0.2812059954017221,4,1,improver
294,4,False,280.0,280,279.7202797202797,2.305561607613514,4,1,improver
295,22,False,200.0,280,279.7202797202797,0.8289843607308607,22,2,improver
296,22,False,130.0,280,279.7202797202797,6.560473708300956,22,2,improver
297,19,False,200.0,280,279.7202797202797,2.225595015405735,19,1,improver
298,19,False,130.0,280,279.7202797202797,8.45861386897963,19,1,improver
299,4,True,,280,279.7202797202797,2.2780959627115567,4,1,improver
300,19,False,280.0,280,279.7202797202797,5.586961851721018,19,1,improver
301,19,True,,280,279.7202797202797,10.505306888951663,19,1,improver
302,24,False,130.0,280,279.7202797202797,3.823788597324049,24,2,improver
303,23,True,,280,279.7202797202797,4.302663836366476,23,1,improver
304,24,True,,280,279.7202797202797,8.919054312230383,24,2,improver
305,24,False,200.0,280,279.7202797202797,-0.1757112543481873,24,2,improver
306,24,False,280.0,280,279.7202797202797,-0.5346005827675494,24,2,improver
307,22,True,,280,279.7202797202797,5.75135802453373,22,2,improver
308,22,False,280.0,280,279.7202797202797,2.6873733704463563,22,2,improver
309,23,False,280.0,280,279.7202797202797,3.210334393921392,23,1,improver
310,23,False,130.0,280,279.7202797202797,1.5871443244468004,23,1,improver
311,23,False,200.0,280,279.7202797202797,-3.322262087486044,23,1,improver
